user_id,book_id,rating
30503,7107,4
225781,9757,3
114586,524,4
426793,13541,4
399150,1591,2
51725,5770,5
308515,1555,3
349944,3639,4
337676,1408,4
321887,1203,4
387119,26173,4
151076,26420,5
46387,1546,5
18110,12710,3
55731,7474,4
259960,7473,4
310971,7517,4
51798,417,4
9003,5236,4
256525,7390,5
16141,1471,2
429607,1226,3
86412,8801,3
230056,6963,3
417087,8612,4
216521,19431,5
389885,6206,4
261211,1473,4
327608,1000,4
225781,14671,5
256007,2512,3
216722,7047,5
22936,197,4
279887,1217,5
48163,7432,5
48772,1596,4
53736,1402,1
142351,938,4
102212,1387,5
250706,21080,5
106891,13228,3
112919,236,3
52115,12967,4
171397,1009,4
303981,2402,5
441984,768,4
200454,7487,0
434400,7457,5
120070,1366,4
242482,7341,3
211418,14841,2
384333,14960,4
19595,7491,5
69055,7161,4
431775,1387,3
250204,307,4
124182,1011,5
32717,19590,2
7441,939,5
305338,1280,4
259607,443,5
134216,8101,5
350385,236,4
303992,1574,5
253680,7474,4
152575,1423,5
74145,407,4
436808,536,5
306540,7000,4
387119,1543,3
86888,8154,4
41149,8126,4
167255,1233,1
242575,9853,5
433738,7492,4
322626,6917,4
213399,1312,4
4395,1009,3
196125,5235,4
43230,12877,4
16194,1210,4
218339,7487,4
354145,1010,4
65235,5456,5
211265,1358,4
429607,7237,2
324755,5436,5
314371,6969,5
431251,14794,4
441529,1435,4
441529,446,5
406643,1013,5
5761,6805,5
31922,6970,4
304341,1537,4
1216,1525,4
113630,5712,4
352635,13312,2
240298,1594,0
220954,5456,5
344297,427,4
441875,13295,2
338237,3304,5
65608,7499,5
94388,5436,5
138563,995,4
350775,13366,4
441739,12894,3
171158,7460,3
433631,1494,4
393370,2805,4
177532,6194,3
406872,17543,3
81482,370,5
360531,1521,4
16286,7936,2
66083,105,5
430571,772,5
414545,786,5
397425,1786,4
378803,12681,4
397374,138,4
72595,7008,4
178188,17248,3
3310,2787,5
52978,1496,3
376764,6421,5
362371,14917,4
136855,18288,3
255803,13213,4
209152,1313,4
303294,6452,3
431525,5436,5
343384,1020,4
72138,1605,5
240146,6174,3
145217,995,4
204923,1553,4
41357,197,5
379150,1574,4
54922,1542,4
433574,7051,4
299855,1312,5
180348,943,4
88757,7474,5
389414,6791,4
433606,1518,5
229900,14871,3
206558,80,5
134662,1007,5
439662,998,4
433584,6461,3
252903,7460,4
123453,1605,3
194904,1004,4
114229,461,3
155823,1678,5
69687,18131,4
391475,13366,5
151651,1563,4
283602,6482,5
291659,1471,4
112371,821,5
306620,255,4
439639,677,2
80703,1604,3
58198,5236,5
174948,791,4
216510,7050,4
78078,772,5
280871,7048,3
173029,13098,5
269703,7474,5
380861,430,3
51608,8000,5
391751,5456,4
124062,7506,5
98985,1313,3
137923,1613,3
426793,1526,2
435398,7476,4
406043,14671,5
441847,999,5
155312,1526,1
144317,197,3
163306,12940,5
284899,7010,4
415239,1002,4
246687,1559,4
326104,12894,4
243553,7491,5
345645,7457,4
151563,578,3
440535,1621,2
366774,7212,4
201767,609,4
106392,6127,4
246465,1386,2
275013,1606,5
270975,197,4
353494,7195,4
179404,5584,4
248121,1465,4
368352,7476,4
228973,18264,2
435311,6360,3
181914,1603,4
417353,786,5
151448,996,4
75904,19590,2
301122,410,5
256418,9757,5
317962,407,4
413797,1004,4
189086,1594,4
104196,446,4
112371,671,4
336157,6969,5
315361,1504,4
194902,6969,5
154981,4477,5
188981,1473,5
15873,7994,4
70802,1523,4
407447,1590,5
271296,2512,4
77094,1786,3
339244,8381,5
380861,6971,5
228973,6085,5
341830,7221,5
258584,1786,4
115328,6982,2
253104,5422,5
211418,5712,5
223382,1613,4
59181,1212,5
219600,12851,4
340351,6174,1
194207,12681,5
81859,14586,3
315827,7005,4
301400,21926,3
433218,7993,3
51587,12177,4
380638,182,4
2888,1473,5
410594,5463,3
271875,1616,4
135246,1007,5
440291,1616,3
207036,1402,5
172707,524,5
353014,13552,4
314613,9757,4
179001,1408,4
315361,26420,5
45358,1601,4
151336,1553,4
426273,19431,5
130104,1588,4
60325,12894,4
176743,7491,5
96826,7341,5
429600,6481,4
252903,7968,5
333540,14917,5
439574,1450,5
22105,1471,3
253680,12487,2
337852,14671,5
221717,1518,4
181511,18696,4
285375,13350,4
235576,7300,5
194904,1013,1
45185,7994,3
267290,7107,3
201767,6216,5
19948,7000,5
125858,1518,3
235576,7173,4
370347,12940,3
145928,13295,4
322484,2867,3
417087,14648,3
115426,6410,4
52887,13563,4
143956,1003,4
295675,1088,4
295731,7390,5
406943,7071,4
135935,1554,4
80989,1626,3
20135,1010,3
275124,8154,5
118446,996,5
68534,13552,5
279733,578,4
306978,994,4
320927,1602,5
214581,410,2
244839,6914,5
145153,1010,4
99084,1435,3
316403,1594,5
438483,1627,3
402049,7465,5
163306,13295,4
76743,150,2
65658,968,5
325813,10024,3
362371,3652,3
422092,1590,2
221717,1007,4
72595,7173,5
97063,1097,4
24079,1358,5
391565,1457,5
123991,13228,4
85471,8001,5
382112,1626,2
90860,12681,4
266373,5239,4
198401,4477,4
412247,939,3
135622,7467,2
199934,7198,3
331488,5584,5
213904,12710,5
104196,1591,3
257666,993,3
381832,370,5
404646,7476,5
32098,12962,3
345773,7487,3
240914,598,4
263881,5422,4
387119,14960,5
780,7051,3
336265,7239,5
355813,1097,5
77324,613,5
299496,5238,3
269703,18724,4
406175,10232,5
101853,1448,3
115003,13563,1
274350,7510,5
380170,1386,3
215477,1272,4
117608,1621,3
172136,1678,5
79267,7200,4
216047,7249,4
435212,1007,4
3310,1786,5
46453,325,3
404509,1448,3
206203,10298,5
425441,417,5
423186,12972,4
152246,7239,2
422862,2513,5
33334,8081,5
158679,7048,1
407746,18131,3
236069,7351,4
398584,14566,5
402049,19473,5
433475,1202,5
358902,968,5
250434,1326,5
102212,839,3
292341,6085,5
88716,14648,4
3102,2402,4
159461,6481,5
392330,461,3
386122,1604,5
343361,995,3
299786,858,4
416340,13295,5
178549,997,4
52887,1458,3
420676,26362,4
27176,1554,3
297458,6914,5
38059,1070,3
336321,1079,3
325813,17248,4
92791,6229,5
206558,7510,4
286622,12858,4
73838,1271,4
406010,13541,4
194799,21452,5
292341,7051,4
424848,8081,5
72725,7457,4
395334,6989,4
25601,1513,4
292782,19298,2
114419,7492,4
45358,1188,2
409638,12966,4
378803,6915,5
69034,297,4
100961,10232,4
344297,1494,4
252903,18288,5
247587,1613,3
369158,443,2
359915,1572,4
437730,5436,5
211509,26362,5
401270,1458,0
391475,7221,5
250024,7050,4
369158,1572,4
280227,7221,5
50981,1473,4
92543,13228,5
410594,23815,3
404909,5456,5
104231,6361,4
116002,12923,3
249030,993,2
69833,16247,5
399681,7473,4
19477,2617,4
274426,1616,3
87107,1596,3
439574,6228,3
146975,16524,3
177532,1606,5
305782,1233,4
280555,6805,1
27560,1602,5
149153,578,3
262494,8001,5
256418,13541,5
349860,1387,4
240280,417,5
162677,7492,0
103708,6360,3
95415,1603,2
22936,17248,4
1594,1283,3
159402,545,5
25597,1627,5
117649,8000,4
305964,16517,5
206897,968,4
75904,15450,3
49596,1117,3
213530,5238,4
255567,6914,5
238524,7237,4
348827,1000,3
207296,1504,2
126657,6229,0
336157,6174,4
166718,236,5
404646,1283,3
229820,939,4
391751,5466,3
25597,1448,5
30779,6791,4
420568,301,4
440854,8081,2
418951,7491,3
14554,5436,5
27475,943,5
230134,21809,3
304051,7499,2
52887,7490,4
200424,9757,5
228061,1603,5
20202,2327,5
155648,1423,2
250204,3652,5
9009,14599,4
430981,8001,3
153815,23801,5
299735,7212,5
406798,5239,3
10582,7474,3
382256,6412,5
74379,6186,4
86446,25092,1
19158,7972,4
436060,1218,1
101208,536,5
26093,4731,4
119723,417,3
372100,12681,5
38958,13295,5
251293,996,5
250024,7998,5
212633,1202,4
41611,996,4
401656,6461,4
44610,1358,4
147893,370,4
368352,837,3
189451,7685,5
165677,19503,4
194902,4990,4
352141,7474,2
23744,6452,5
270775,17248,5
394202,13541,5
419094,1592,4
388099,8042,4
306339,996,5
382647,5436,4
243432,536,5
8250,23815,0
19727,12851,4
397425,1313,4
365109,12940,4
261813,6803,5
99919,5239,5
188981,999,5
295615,19473,5
222533,7936,3
274350,6915,5
429523,197,0
431251,924,4
373368,1525,1
316054,1007,5
380170,16517,5
90143,7106,5
6551,6084,5
215561,446,4
161491,6361,3
8358,1613,1
200018,446,4
385920,427,5
56870,1471,5
39045,7785,3
272153,7469,4
268010,6230,4
273378,16280,3
217990,999,2
301122,3603,4
81629,1123,3
73696,1605,2
205385,7048,5
3152,7237,5
71675,524,4
129991,1010,4
29397,1504,4
262890,6865,5
390811,4988,3
283855,13429,2
69220,7212,5
68972,7993,4
377986,939,3
204799,6989,0
268376,2513,4
314695,586,4
427988,1603,4
135246,1370,3
151336,1283,4
201767,417,5
436371,4988,4
287795,2402,5
328472,7499,3
6512,1070,5
162129,14576,4
30212,1602,3
394563,1590,3
359577,609,4
201819,417,4
422405,10296,4
406346,19489,4
344181,1387,5
278464,2057,4
316403,7051,5
433459,6989,4
173391,2617,4
160160,1473,5
377986,5236,3
344297,1320,4
421551,7511,4
360186,786,2
165202,1494,5
407911,609,5
180394,1471,4
383079,1594,4
211418,80,5
295731,6422,5
137579,1525,0
319281,5236,5
319884,786,5
51798,26362,5
81629,19431,3
257578,7492,5
35589,8000,2
230056,7502,3
362392,7510,5
29501,7057,3
369661,6398,2
115411,18647,4
436060,1435,5
385920,12744,5
273378,7502,4
229900,858,4
246883,7510,4
154981,2577,4
3152,8042,4
5666,7000,3
438614,6914,3
72893,21452,4
268010,995,4
283602,9853,5
156136,1524,2
410955,7998,2
395249,997,3
428972,6205,3
303062,2824,3
151448,7490,5
240298,1273,0
177532,1602,4
380713,5236,4
161299,1088,5
76703,1016,4
380455,66,5
383096,2057,5
415239,13228,2
64759,7473,4
216510,8120,3
220173,370,5
9880,1458,3
18474,6144,1
127763,6481,4
15947,427,5
380408,8001,4
395670,1116,3
349799,5770,4
437101,1473,5
18433,1273,1
181914,1572,4
249133,370,3
216311,105,4
11178,1555,4
306978,8001,3
5761,6085,4
418793,14576,4
102212,12744,2
183426,2577,4
421551,7469,4
374599,16280,4
34576,1450,3
322484,7461,3
130104,1280,5
207296,7685,3
296084,443,4
412463,1313,3
399150,862,5
441847,1012,5
57823,307,4
246687,7284,2
29397,4990,5
295731,609,5
144167,13429,3
99050,2824,5
223412,6836,4
437105,786,5
423867,1525,1
105412,13541,5
432579,13099,2
137923,3652,4
120070,7071,3
217107,1673,4
433459,13098,5
114229,8381,3
143295,4767,5
249975,255,4
299110,6481,4
373991,7005,5
222247,446,4
179001,536,4
318270,12894,5
318718,1525,4
199934,1201,4
291659,1123,3
436371,12940,4
441847,3640,5
353494,1559,3
197495,586,4
57490,3974,2
164235,7466,2
179718,5456,5
19727,5770,4
50072,7047,4
56418,14799,5
214255,6917,5
430571,1013,3
191011,670,2
403745,3652,3
1272,8450,1
41611,1004,5
327021,5436,5
141112,21401,5
300420,7491,1
299110,6008,5
202003,13312,5
434400,4731,3
375985,8081,4
19426,7492,3
124062,19531,4
280227,16517,5
95743,13190,4
22105,7166,4
108750,1387,4
374176,7000,4
51798,7107,4
426916,12972,3
258584,1496,3
252903,8001,0
134970,1597,1
41321,2867,5
169350,7998,5
427537,427,3
172649,7221,1
38087,7510,1
6857,999,2
126982,1423,4
124485,66,3
435398,7490,3
404027,2617,4
186075,1079,4
204923,1000,5
304863,5235,4
287753,13350,4
1894,105,4
138520,80,4
353020,1272,4
367564,12177,4
223382,6683,4
77705,6959,5
14916,609,5
64257,14576,3
440535,1117,2
170123,12710,3
382112,1597,3
34656,197,4
38165,6205,3
198144,6451,5
91127,14599,3
66840,5239,5
160516,1002,5
343629,1627,3
206203,19431,3
112919,1448,4
237008,7476,3
85264,1435,2
115411,14671,5
351867,19431,4
207461,1591,5
197529,1387,5
98631,7284,4
356665,7341,5
85872,1458,4
14844,7972,4
394563,8120,4
9009,21452,5
369661,13563,3
60627,6803,5
52003,1473,5
331126,7469,3
267888,862,4
148211,8001,5
419463,412,3
414061,26362,5
198401,1312,3
433631,1013,5
74980,1312,3
112038,536,5
408851,5436,5
19477,1611,4
291829,197,4
115346,531,1
342224,637,1
104610,6970,3
9880,7432,1
395088,301,4
317452,5166,3
90058,1430,3
18385,18724,3
194949,1555,3
167255,8101,4
148103,370,3
3199,7517,4
240052,609,5
181914,1604,3
340314,2787,5
74487,1117,2
73696,6522,4
113126,6422,3
218099,7221,3
428802,12525,4
179404,7502,3
303981,2295,4
217107,6716,5
104231,7198,3
72894,307,5
188798,2577,4
8358,1370,4
250543,6228,4
279192,1473,5
32786,1594,4
108444,545,4
401255,837,5
314613,6969,5
72138,18288,4
385920,1543,3
128427,427,2
182483,5803,4
215475,995,3
95336,1010,3
375022,6915,5
373937,6398,4
349841,1211,0
195274,1559,4
353023,25092,5
156498,7457,4
229281,412,2
231384,7518,2
113118,1212,5
389318,14917,4
230048,1508,3
211307,427,4
83646,768,5
125449,13366,5
44874,7000,2
35589,1264,1
137923,5235,5
102983,7473,4
305003,1537,4
423186,6228,5
326104,14794,5
63914,12744,4
81604,6422,4
158956,6421,3
350423,236,4
72762,7998,2
76703,8000,5
67535,619,4
272644,791,3
212720,19341,4
358035,1368,4
324744,11078,5
424969,1007,4
225054,23801,4
88716,821,4
142,7341,4
250334,1574,3
223412,7200,4
143332,1387,4
229408,370,5
216365,853,5
183269,12681,4
320854,5803,4
433574,17248,4
52978,410,4
123453,1368,5
301711,150,4
365109,13213,5
288840,7492,3
433411,297,4
300420,6477,3
290812,1628,1
4822,1020,5
8094,19590,4
38087,858,5
227876,7503,3
74379,1592,4
14554,7510,2
242197,1007,5
249949,1574,5
129642,6969,5
290431,16517,5
360909,4731,5
330232,7490,5
296477,968,5
359826,1009,3
369158,1471,4
143295,301,4
187670,26420,5
316542,5422,5
238748,6361,4
420568,1313,5
414260,1627,2
158277,12744,3
73496,5770,1
278536,1435,2
412624,5235,5
231207,197,4
148221,1597,5
4972,307,4
8307,5238,5
288620,1591,4
269277,7490,5
229879,1283,4
271194,6865,5
145625,10297,5
219492,6229,4
403745,7106,5
16943,1572,3
341371,19489,5
335543,475,4
374420,768,4
969,1574,5
27434,1526,4
327518,5239,5
284898,791,5
51798,671,3
266251,7993,4
106392,7464,5
19426,536,5
422740,7998,3
298961,297,3
6857,536,5
84934,6412,5
416340,19532,4
302726,16280,1
357688,7006,3
417640,5239,5
406643,1117,5
150961,5712,4
427325,1007,5
336024,14872,5
334811,1525,3
413797,7490,2
303895,3974,4
390619,7197,5
175686,8381,4
322126,66,5
70230,1212,3
178188,2805,4
136354,6700,4
269277,4990,4
55554,197,4
164500,1210,3
45358,7006,4
